Host Id,Host Name,Id,Last Review,Name,Neighbourhood,Neighbourhood Group,Reviews Per Month,Room Type,Availability 365,Calculated Host Listings Count,Latitude,Longitude,Minimum Nights,Number Of Reviews,Price,Reviews_Per-Month_Final
22486,Lisel,8110,7/2/2019,CBG Helps Haiti Rm #2,Park Slope,Brooklyn,0.61,Private room,304,6,40.68001,-73.97865,2,71,110,0.61
25183,Nathalie,8490,6/19/2019,"MAISON DES SIRENES1,bohemian apartment",Bedford-Stuyvesant,Brooklyn,0.73,Entire home/apt,233,2,40.68371,-73.94028,2,88,120,0.73
25326,Gregory,8505,6/23/2019,Sunny Bedroom Across Prospect Park,Windsor Terrace,Brooklyn,1.37,Private room,85,2,40.65599,-73.97519,1,19,60,1.37
26394,Claude & Sophie,8700,,Magnifique Suite au N de Manhattan - vue Cloitres,Inwood,Manhattan,,Private room,0,1,40.86754,-73.92639,4,0,80,0
30193,Tommi,9357,8/13/2017,Midtown Pied-a-terre,Hell's Kitchen,Manhattan,0.49,Entire home/apt,75,1,40.76715,-73.98533,10,58,150,0.49
31374,Shon,9518,6/15/2019,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Inwood,Manhattan,1.11,Private room,311,3,40.86482,-73.92106,3,108,44,1.11
21904,Dana,9657,4/19/2019,Modern 1 BR / NYC / EAST VILLAGE,East Village,Manhattan,0.24,Entire home/apt,67,1,40.7292,-73.98542,14,29,180,0.24
32294,Ssameer Or Trip,9668,6/1/2019,front room/double bed,Harlem,Manhattan,2.04,Private room,355,3,40.82245,-73.95104,3,242,50,2.04
32045,Teri,9704,6/14/2019,Spacious 1 bedroom in luxe building,Harlem,Manhattan,1.42,Private room,255,1,40.81305,-73.95466,2,88,52,1.42
32169,Andrea,9782,6/15/2019,Loft in Williamsburg Area w/ Roof,Greenpoint,Brooklyn,1.65,Private room,284,3,40.72219,-73.93762,4,197,55,1.65
32294,Ssameer Or Trip,9783,7/1/2019,back room/bunk beds,Harlem,Manhattan,2.37,Private room,359,3,40.8213,-73.95318,3,273,50,2.37
35935,Angela,10452,5/12/2019,Large B&B Style rooms,Bedford-Stuyvesant,Brooklyn,0.66,Private room,269,2,40.6831,-73.95473,1,74,70,0.66
9744,Laurie,10962,6/21/2019,"Lovely room 2 & garden; Best area, Legal rental",South Slope,Brooklyn,1.41,Private room,340,3,40.66869,-73.9878,4,168,89,1.41
7355,Vt,11452,,Clean and Quiet in Brooklyn,Bedford-Stuyvesant,Brooklyn,,Private room,365,1,40.68876,-73.94312,60,0,35,0
44145,Tyrome,11708,6/22/2019,Cute apt in artist's home,Bushwick,Brooklyn,1.96,Entire home/apt,22,2,40.70186,-73.92745,2,231,85,1.96
45445,Harriet,11943,,Country space in the city,Flatbush,Brooklyn,,Private room,365,1,40.63702,-73.96327,1,0,150,0
7549,Ben,12048,7/5/2019,LowerEastSide apt share shortterm 1,Lower East Side,Manhattan,1.81,Shared room,188,4,40.71401,-73.98917,1,214,40,1.81
46978,Edward,12192,6/21/2019,ENJOY Downtown NYC!,East Village,Manhattan,2.08,Private room,96,2,40.7229,-73.98199,2,245,68,2.08
47610,Abdul,12299,5/27/2019,Beautiful Sunny Park Slope Brooklyn,South Slope,Brooklyn,0.39,Entire home/apt,345,1,40.66278,-73.97966,3,15,120,0.39
47618,Yolande,12303,9/30/2018,1bdr w private bath. in lofty apt,Fort Greene,Brooklyn,0.23,Private room,311,1,40.69673,-73.97584,7,25,120,0.23
16800,Cyn,12318,6/16/2019,West Side Retreat,Upper West Side,Manhattan,0.69,Private room,273,1,40.79009,-73.97927,4,81,135,0.69
47727,Earl,12343,6/13/2019,BEST BET IN HARLEM,Harlem,Manhattan,0.84,Entire home/apt,309,1,40.81175,-73.94478,7,97,150,0.84
49670,Rana,12627,6/5/2019,Entire apartment in central Brooklyn neighborhood.,Prospect-Lefferts Gardens,Brooklyn,0.49,Entire home/apt,95,1,40.65944,-73.96238,29,11,150,0.49
50124,Orestes,12937,7/1/2019,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Long Island City,Queens,2.25,Private room,215,1,40.74771,-73.9474,3,248,130,2.25
50148,Adreinne,12940,5/25/2019,Charming Brownstone 3 - Near PRATT,Bedford-Stuyvesant,Brooklyn,0.52,Entire home/apt,265,1,40.68111,-73.95591,7,61,110,0.52
50846,Jennifer,13050,1/1/2017,bright and stylish duplex,Bedford-Stuyvesant,Brooklyn,0.1,Entire home/apt,0,1,40.68554,-73.9409,3,11,115,0.1
52335,Alexander,13394,6/17/2019,Fort Greene brownstone,Fort Greene,Brooklyn,1.16,Private room,192,2,40.69142,-73.97376,3,135,80,1.16
54275,JT And Tiziana,13808,6/16/2019,Blue Room for 2 in Brownstone for $1350 monthly,Bedford-Stuyvesant,Brooklyn,1.01,Private room,251,3,40.68043,-73.93934,1,112,80,1.01
56094,Joya,14287,7/7/2019,Cozy 1BD on Central Park West in New York City,Upper West Side,Manhattan,0.63,Entire home/apt,302,1,40.78635,-73.97008,2,73,151,0.63
56104,James,14290,5/17/2019,* ORIGINAL BROOKLYN LOFT *,Williamsburg,Brooklyn,0.7,Entire home/apt,140,1,40.7042,-73.9356,3,82,228,0.7
56246,Jeanne,14314,6/29/2019,Greenpoint Place...Has It All!,Greenpoint,Brooklyn,2.82,Entire home/apt,234,1,40.73506,-73.95392,2,328,144,2.82
56284,Francesca,14322,3/25/2019,Beautiful Apartment in Manhattan!!!,Kips Bay,Manhattan,0.22,Entire home/apt,257,1,40.73961,-73.98074,7,19,200,0.22
56512,Joanna,14377,6/22/2019,Williamsburg 1 bedroom Apartment,Williamsburg,Brooklyn,0.9,Entire home/apt,30,1,40.70881,-73.9593,30,105,150,0.9
59023,Bianca,14991,5/18/2019,"Great Location, Manhattan Bedroom!",Lower East Side,Manhattan,0.17,Private room,301,1,40.72004,-73.99104,5,19,110,0.17
59734,Luiz,15220,6/9/2019,Best Location in NYC! TIMES SQUARE!,Hell's Kitchen,Manhattan,2.49,Private room,294,2,40.75531,-73.99293,2,289,69,2.49
32169,Andrea,15338,6/4/2019,Room in Greenpoint Loft w/ Roof,Greenpoint,Brooklyn,1.19,Private room,320,3,40.72401,-73.93788,4,138,49,1.19
60049,Ted,15341,6/29/2019,**Bright Nolita Apt w Doorman/Elevators/Gym**,SoHo,Manhattan,0.3,Entire home/apt,154,1,40.7221,-73.99775,30,21,180,0.3
60252,Cristina,15385,6/30/2019,"Very, very cozy place",Williamsburg,Brooklyn,0.38,Private room,263,1,40.71185,-73.96204,2,42,80,0.38
60278,Petra,15396,11/3/2018,Sunny & Spacious Chelsea Apartment,Chelsea,Manhattan,0.12,Entire home/apt,180,1,40.74623,-73.9953,180,5,375,0.12
61491,D,15711,3/30/2019,2 bedroom - Upper East Side-great for kids,Upper East Side,Manhattan,0.57,Entire home/apt,231,2,40.77065,-73.95269,2,66,250,0.57
63588,Dimitri,16326,1/26/2019,Comfortable 4-bedroom apt in family house.,Prospect Heights,Brooklyn,1.33,Entire home/apt,297,2,40.67811,-73.96428,30,143,200,1.33
63613,Patricia,16338,9/30/2017,Double Room w Private Deck Clinton Hill Best Area,Clinton Hill,Brooklyn,0.23,Private room,292,2,40.69,-73.96788,7,27,55,0.23
63924,Mark,16421,5/16/2019,Your Heaven in Hells Kitchen,Hell's Kitchen,Manhattan,1.65,Private room,191,1,40.75979,-73.99119,30,191,52,1.65
64056,Sara,16458,9/24/2017,Light-filled 2B duplex in the heart of Park Slope!,Park Slope,Brooklyn,0.16,Entire home/apt,0,1,40.67343,-73.98338,3,4,225,0.16
64442,Reka,16580,7/1/2019,"Sunny, Modern room in East Village!",East Village,Manhattan,4.72,Private room,72,2,40.72649,-73.97904,1,338,80,4.72
64522,Daniel,16595,6/23/2019,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Williamsburg,Brooklyn,1.4,Entire home/apt,362,1,40.70933,-73.96792,1,148,275,1.4
4396,Casey,16821,6/21/2019,Large Room in Amazing East Village Apt,East Village,Manhattan,1.26,Private room,336,2,40.72298,-73.98474,1,106,99,1.26
65837,Robin,16974,6/23/2019,SpaHa Loft: Enormous and Bright,East Harlem,Manhattan,1.64,Entire home/apt,215,1,40.80164,-73.93922,4,190,225,1.64
66035,Anna,17037,5/14/2018,Lovely EV Artist's Home,East Village,Manhattan,0.43,Entire home/apt,116,1,40.72162,-73.98008,9,49,230,0.43
66243,Enzo,17092,6/1/2019,Cool Room in Hell's Kitchen,Hell's Kitchen,Manhattan,0.43,Private room,88,1,40.76342,-73.98865,7,23,51,0.43
68428,Tye And Etienne,17693,6/18/2019,"HARLEM, NEW YORK WELCOMES YOU!!",Washington Heights,Manhattan,1.6,Private room,336,2,40.83139,-73.94095,2,49,65,1.6
68599,George,17747,6/26/2019,BLUE TRIM GUEST HOUSE,Clinton Hill,Brooklyn,0.92,Private room,304,1,40.68346,-73.96374,2,105,105,0.92
69829,Josh,18127,1/2/2019,Charming East Village One Bedroom Flat,East Village,Manhattan,0.2,Entire home/apt,224,1,40.72828,-73.98801,5,21,190,0.2
69942,Victoria,18152,7/6/2019,Manhattan Room,Upper East Side,Manhattan,1.5,Private room,322,1,40.76865,-73.95058,1,142,200,1.5
70091,Justin,18198,5/31/2019,Little King of Queens,Woodside,Queens,0.22,Private room,324,1,40.75038,-73.90334,30,25,70,0.22
71512,Blaise,18590,6/16/2019,Fort Greene Retreat on the Park,Fort Greene,Brooklyn,1.28,Private room,132,1,40.6932,-73.97267,3,143,95,1.28
71876,DAVID And RICK,18728,5/28/2019,Beautiful Meatpacking District Loft,Chelsea,Manhattan,1.65,Private room,295,1,40.74138,-74.00197,3,167,150,1.65
72014,Lulú,18764,4/22/2019,Cozy 2 BR in Williamsburg,Williamsburg,Brooklyn,0.54,Private room,238,4,40.71154,-73.96112,3,61,145,0.54
73051,Sybilla,19159,3/23/2019,Spacious luminous apt Upper West NYC,Harlem,Manhattan,0.49,Entire home/apt,209,1,40.82915,-73.95136,31,54,110,0.49
73128,JoLynn,19169,6/30/2019,Entire 2 Bedroom - Large & Sunny,Lower East Side,Manhattan,0.62,Entire home/apt,328,1,40.71851,-73.98892,5,70,285,0.62
73469,Gaia,19282,6/15/2019,"Sunny, Spacious Top Floor Haven",Flatbush,Brooklyn,0.15,Entire home/apt,38,1,40.65401,-73.96323,6,16,130,0.15
44263,Ana,19319,4/8/2019,Private room Great Deal at Lower East Side,Lower East Side,Manhattan,0.84,Private room,188,1,40.7114,-73.98794,30,94,94,0.84
74303,Maggie,19601,8/4/2016,perfect for a family or small group,Brooklyn Heights,Brooklyn,0.24,Entire home/apt,7,1,40.69723,-73.99268,1,25,800,0.24
74857,Starlee,19812,8/9/2018,2 bedroom Williamsburg Apt - Bedford L stop,Williamsburg,Brooklyn,0.53,Entire home/apt,272,1,40.71833,-73.95748,3,61,105,0.53
62407,Edward,20299,6/30/2019,Oh glorious spring!,East Village,Manhattan,1.73,Private room,26,1,40.72334,-73.9844,3,194,60,1.73
76627,Pas,20300,2/14/2016,Great Location for NYC,East Village,Manhattan,0.05,Private room,0,1,40.72912,-73.98057,1,2,50,0.05
72014,Lulú,20611,6/22/2019,Cozy Bedroom in Williamsburg 3 BR,Williamsburg,Brooklyn,1.54,Private room,288,4,40.71156,-73.96218,3,174,85,1.54
961342,Augustin,20724,5/26/2019,Sunny room+Pvte office in huge loft,Bushwick,Brooklyn,0.28,Private room,317,1,40.70032,-73.9383,4,24,65,0.28
78460,Sean & Lynette,20734,6/27/2019,Spacious Prospect Heights Apartment,Prospect Heights,Brooklyn,3.4,Entire home/apt,207,1,40.68233,-73.97261,4,166,131,3.4
51038,Erica,20755,5/31/2019,"Large Parlor Room, Landmark Home 1 block to PRATT",Clinton Hill,Brooklyn,0.2,Private room,185,6,40.68634,-73.966,7,16,98,0.2
79070,Tracy,20853,5/21/2019,2-bed brownstone duplex + garden,Prospect Heights,Brooklyn,0.3,Entire home/apt,158,1,40.68035,-73.97162,7,21,250,0.3
79402,Christiana,20913,7/22/2018,Charming 1 bed GR8 WBurg LOCATION!,Williamsburg,Brooklyn,1.57,Entire home/apt,0,1,40.70984,-73.95775,5,168,100,1.57
44145,Tyrome,21293,6/18/2019,Sunny Apartment in Artist Home,Bushwick,Brooklyn,1.05,Entire home/apt,9,2,40.70093,-73.92609,3,118,105,1.05
42032,Dana,21456,7/7/2019,Light-filled classic Central Park,Upper West Side,Manhattan,0.71,Entire home/apt,198,1,40.79764,-73.96177,3,81,140,0.71
82685,Elliott,21644,10/9/2018,"Upper Manhattan, New York",Harlem,Manhattan,0.11,Private room,365,1,40.82803,-73.94731,1,1,89,0.11
83257,Olan,21794,5/1/2019,COZY QUIET room 4 DOOGLERS!,Chelsea,Manhattan,0.27,Private room,364,2,40.74008,-74.00271,30,30,98,0.27
87773,Shelly,22911,10/28/2018,The Stuydio Modern and Light Filled,Bedford-Stuyvesant,Brooklyn,1.23,Entire home/apt,311,2,40.68413,-73.92357,7,139,125,1.23
32294,Ssameer Or Trip,22918,1/3/2019,loft bed - near transportation-15min to times sq,Harlem,Manhattan,0.87,Private room,219,3,40.82279,-73.95139,3,11,60,0.87
11481,Annette,23135,6/24/2019,House On Henry (3rd FLR Suite),Carroll Gardens,Brooklyn,2.09,Entire home/apt,342,3,40.67967,-74.00154,2,233,175,2.09
63318,Meka,23501,11/1/2012,Monkey Retreat Manhattan,Washington Heights,Manhattan,0.6,Private room,312,1,40.83927,-73.94281,2,68,65,0.6
93790,Ann,23686,5/18/2019,2000 SF 3br 2bath West Village private  townhouse,West Village,Manhattan,0.55,Entire home/apt,243,2,40.73096,-74.00319,4,46,500,0.55
97219,Seth,24143,5/29/2019,"Williamsburg—Steps To Subway, Private Bath&Balcony",Williamsburg,Brooklyn,3.02,Private room,152,1,40.71332,-73.94177,3,335,101,3.02
97797,Brenda,24285,11/2/2018,Beautiful Duplex Apartment,Park Slope,Brooklyn,0.79,Entire home/apt,9,1,40.66941,-73.98109,30,88,220,0.79
87773,Shelly,25235,6/28/2019,Large 2 Bedroom Great for Groups!,Bedford-Stuyvesant,Brooklyn,1.46,Entire home/apt,137,2,40.68373,-73.92377,90,162,125,1.46
105538,Erik,25406,5/26/2018,"Modern Brooklyn Apt., August sublet",Williamsburg,Brooklyn,0.4,Entire home/apt,222,1,40.71459,-73.94844,30,29,80,0.4
107628,Dena,25696,6/23/2019,"1,800 sq foot in luxury building",Harlem,Manhattan,1.61,Private room,346,1,40.8092,-73.94421,2,170,100,1.61
109589,Jessica,26012,3/17/2017,Sunny 2-story Brooklyn townhouse w deck and garden,Gowanus,Brooklyn,0.2,Entire home/apt,208,1,40.68157,-73.98989,30,19,200,0.2
59734,Luiz,26362,6/16/2019,"Times Square, Safe, Clean and Cozy!",Hell's Kitchen,Manhattan,3,Private room,279,2,40.75527,-73.99291,2,334,59,3
51038,Erica,26520,6/2/2019,"Cozy Room #3, Landmark Home 1 Block to PRATT",Clinton Hill,Brooklyn,0.2,Private room,250,6,40.68698,-73.96572,2,19,125,0.2
112793,Sally,26559,12/11/2017,Beautiful Apartment East Village,East Village,Manhattan,0.13,Entire home/apt,164,1,40.7288,-73.98192,7,12,140,0.13
42273,Dani,26785,12/30/2018,Park Slope Green Guest House,South Slope,Brooklyn,4.22,Entire home/apt,192,2,40.66853,-73.98912,30,467,120,4.22
72062,Bruce,26933,8/9/2017,2 BR / 2 Bath Duplex Apt with patio! East Village,East Village,Manhattan,0.06,Entire home/apt,298,4,40.7254,-73.98157,2,7,350,0.06
115157,Nimo,26954,12/2/2015,NYC fabulous views Manhattan's eye,Kips Bay,Manhattan,0.38,Entire home/apt,260,1,40.74294,-73.98009,5,38,199,0.38
115307,Alexandra,26969,6/23/2019,2 story family home in Williamsburg,Williamsburg,Brooklyn,3.01,Entire home/apt,107,1,40.71942,-73.95748,3,324,325,3.01
115560,Stacy,27006,4/27/2019,Comfortable UWS 2-BD Family-Friendly Brownstone,Upper West Side,Manhattan,0.27,Entire home/apt,199,1,40.77823,-73.97637,6,27,235,0.27
72062,Bruce,27385,6/7/2019,Great Large 1 BR apt  in East Village!,East Village,Manhattan,1.05,Entire home/apt,299,4,40.72555,-73.97965,1,115,225,1.05
118971,Evelyn,27531,5/20/2019,Eveland Private Bed & Living Room w/ Own Entrance,South Slope,Brooklyn,3.2,Private room,20,3,40.66831,-73.98604,2,354,99,3.2
119510,Emma,27644,7/1/2019,Sugar Hill Rest Stop,Harlem,Manhattan,2.03,Entire home/apt,318,1,40.82754,-73.94919,2,195,170,2.03
119588,Vero,27659,12/30/2018,3 Story Town House in Park Slope,South Slope,Brooklyn,0.24,Entire home/apt,216,2,40.66499,-73.97925,2,16,400,0.24
119900,Sylvie,27759,6/26/2019,apartment next to Central park,Upper West Side,Manhattan,0.12,Entire home/apt,224,1,40.77842,-73.97556,7,13,170,0.12
120223,Jen,27883,12/10/2011,East Village Sanctuary,East Village,Manhattan,0.23,Entire home/apt,0,1,40.72245,-73.98527,4,25,100,0.23
65091,Kay,28321,10/5/2018,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Prospect-Lefferts Gardens,Brooklyn,0.08,Private room,324,1,40.65593,-73.96053,2,9,75,0.08
6197784,Jo,28396,9/18/2011,Modern Apt with Spectacular Views,Williamsburg,Brooklyn,0.08,Private room,245,1,40.71923,-73.96468,1,9,90,0.08
124352,Lisa,28907,8/15/2017,Garden studio in the Upper East Sid,Upper East Side,Manhattan,0.19,Entire home/apt,189,1,40.778,-73.94822,5,21,150,0.19
124797,Fernando And Lenin,29012,8/17/2017,Secluded Master Bedroom in Beautiful Huge Apt,Washington Heights,Manhattan,0.33,Private room,307,1,40.85879,-73.93128,15,36,85,0.33
35935,Angela,29013,5/14/2019,B & B Room 1,Bedford-Stuyvesant,Brooklyn,0.58,Private room,310,2,40.68332,-73.9547,3,63,70,0.58
126607,Laurine,29455,6/20/2019,ACCOMMODATIONS GALORE #1,Harlem,Manhattan,1.42,Entire home/apt,213,3,40.81618,-73.94894,3,155,120,1.42
127608,Chris,29628,7/3/2019,Sunny Room in New Condo,Clinton Hill,Brooklyn,2.35,Private room,278,1,40.68414,-73.96351,3,260,89,2.35
125857,Uli,29683,6/25/2019,Stylish & Sleek Apartment Near SoHo!,East Village,Manhattan,0.66,Entire home/apt,209,1,40.72392,-73.99143,5,73,185,0.66
129352,Sol,30031,5/20/2019,NYC artists’ loft with roof deck,Greenpoint,Brooklyn,1.86,Private room,0,1,40.73494,-73.9503,3,193,50,1.86
120335,Cs,30927,6/14/2019,Unique & Charming small 1br Apt. LES,Lower East Side,Manhattan,0.29,Entire home/apt,16,1,40.71341,-73.98856,3,32,105,0.29
117287,Lara,31130,5/26/2019,Most Central Location!,Hell's Kitchen,Manhattan,0.45,Private room,234,3,40.76754,-73.98399,2,50,130,0.45
135619,Tom,31555,7/1/2019,Luminous Beautiful West Village Studio,West Village,Manhattan,0.25,Entire home/apt,12,1,40.73442,-74.00303,29,26,115,0.25
137292,Sunder,31902,1/1/2019,Sanctuary in East Flatbush,Flatlands,Brooklyn,0.02,Private room,178,1,40.63188,-73.93248,2,2,77,0.02
137814,Waldemar,31994,6/24/2019,Room with En Suite Bathroom & Deck,Clinton Hill,Brooklyn,3.89,Private room,275,3,40.6873,-73.9634,2,426,76,3.89
137974,Khem,32023,6/23/2019,FLAT MACDONOUGH,Bedford-Stuyvesant,Brooklyn,2.09,Entire home/apt,163,2,40.68296,-73.93662,3,227,125,2.09
116599,Sahr,32037,7/1/2019,Huge Private  Floor at The Waverly,Clinton Hill,Brooklyn,0.77,Private room,365,3,40.6863,-73.96765,4,84,135,0.77
138579,Ali+Scott,32100,7/30/2017,"Modern Greenpoint, Brooklyn Apt",Greenpoint,Brooklyn,0.03,Entire home/apt,34,1,40.73409,-73.95348,29,3,250,0.03
139612,Elisabeth,32289,6/11/2018,"Sun-drenched, artsy modernist 1 BDRM duplex",Williamsburg,Brooklyn,0.1,Entire home/apt,280,1,40.71561,-73.94835,3,10,199,0.1
139874,Sarah,32331,4/24/2016,"Sunny, Cobble Hill Apartment",Cobble Hill,Brooklyn,0.04,Entire home/apt,0,1,40.6857,-73.99183,2,4,140,0.04
140025,Fredah,32363,9/19/2011,Fully Furnished Basement Apartment,Flushing,Queens,0.01,Private room,1,1,40.74028,-73.83168,2,1,140,0.01
137974,Khem,32965,6/20/2019,FLAT MACDONOUGH GARDEN,Bedford-Stuyvesant,Brooklyn,1.72,Entire home/apt,170,2,40.68281,-73.93524,3,124,115,1.72
142833,Katherine,32969,7/2/2019,Light filled Williamsburg Apartment,Williamsburg,Brooklyn,0.11,Entire home/apt,188,1,40.71596,-73.93938,3,11,160,0.11
143027,Ming,33009,6/17/2019,Retreat in Williamsburg,Williamsburg,Brooklyn,2.19,Entire home/apt,214,1,40.71492,-73.95935,4,240,195,2.19
143048,Paula,33014,6/17/2019,NYC Zen,East Village,Manhattan,0.28,Entire home/apt,248,1,40.72354,-73.98295,3,30,195,0.28
72014,Lulú,33223,6/22/2019,Cozy BR in Wiliamsburg 3 Bedroom,Williamsburg,Brooklyn,1.86,Private room,262,4,40.71165,-73.96087,3,200,80,1.86
149929,Obed,34760,6/29/2019,Sunny Room in Old Historical Brooklyn Townhouse,Fort Greene,Brooklyn,1.05,Private room,280,5,40.69101,-73.97312,8,27,44,1.05
120291,Karen,35526,6/22/2019,Sun Filled Classic West Village Apt,West Village,Manhattan,0.74,Private room,307,1,40.73474,-74.00101,4,79,156,0.74
62165,Michael,36121,5/10/2013,Lg Rm in Historic Prospect Heights,Prospect Heights,Brooklyn,0.09,Private room,339,1,40.67386,-73.96641,15,9,85,0.09
142684,White,36133,6/13/2019,Classic Artist Loft Williamsburg,Williamsburg,Brooklyn,1.61,Private room,1,1,40.71536,-73.96057,3,155,125,1.61
137432,Paz,36442,8/27/2018,Great location. Spacious on PROSPECT PARK,Prospect Heights,Brooklyn,0.05,Entire home/apt,269,1,40.6741,-73.96595,15,4,115,0.05
157798,Irene,36647,5/29/2017,Private Bdrm/Bathrm. New! Elevator!,East Harlem,Manhattan,0.32,Private room,10,1,40.79295,-73.93997,2,34,69,0.32
158284,Karene,36703,3/31/2019,"Sunny, clean 1 bdrm in W. Village",West Village,Manhattan,1.24,Entire home/apt,312,1,40.73226,-74.00401,45,134,225,1.24
159370,Viviana,36934,12/27/2018,Great location in Williamsburg,Williamsburg,Brooklyn,0.25,Entire home/apt,189,1,40.71363,-73.96398,6,27,125,0.25
92788,Sara,38638,6/26/2019,Light and Airy Upper East Side 1 BDR apartment,Upper East Side,Manhattan,1.16,Entire home/apt,290,2,40.77711,-73.9527,4,126,219,1.16
165789,Sarah,38663,12/31/2018,Luxury Brownstone in Boerum Hill,Boerum Hill,Brooklyn,0.27,Entire home/apt,230,1,40.68559,-73.98094,3,23,475,0.27
168417,Marie,39267,6/8/2019,CENTRAL PARK LOFT all for YOU,Upper East Side,Manhattan,2.6,Entire home/apt,164,2,40.77456,-73.95323,1,234,99,2.6
168525,Gus,39282,5/28/2019,Indie-Chic Share In Williamsburg,Williamsburg,Brooklyn,1.86,Private room,53,2,40.71088,-73.95055,4,202,69,1.86
110506,Myung,39593,4/12/2019,"A room w/ a Manhattan view, longer stay",Sunnyside,Queens,0.26,Private room,126,1,40.74559,-73.92313,30,28,79,0.26
170510,Renée,39704,6/22/2019,"Private, Large & Sunny 1BR w/W&D",Bedford-Stuyvesant,Brooklyn,2.86,Entire home/apt,3,2,40.68306,-73.94659,2,309,135,2.86
171851,Henry,40039,4/25/2011,Luxurious Condo in DUBMO with View,DUMBO,Brooklyn,0.13,Private room,189,1,40.70207,-73.98571,3,14,250,0.13
